county,year,confirmed_victims,poverty_rate
Angelina,2016,277,19
Aransas,2016,66,18.8
Archer,2016,12,10.5
Armstrong,2016,2,10.8
Atascosa,2016,202,16.3
Austin,2016,27,14.3
Bailey,2016,16,16.6
Bandera,2016,47,14.6
Bastrop,2016,293,13.2
Baylor,2016,9,17.6
Bee,2016,99,27
Bell,2016,993,12.9
Blanco,2016,14,10.7
Borden,2016,1,10.6
Bosque,2016,36,15.8
Bowie,2016,261,19.3
Brazoria,2016,613,9.9
Brazos,2016,246,24.9
Brewster,2016,28,14.9
Briscoe,2016,3,15.4
Brooks,2016,40,32.2
Brown,2016,185,17.1
Burleson,2016,64,14.4
Burnet,2016,148,11.5
Caldwell,2016,143,16.6
Calhoun,2016,91,15.7
Callahan,2016,28,14.9
Camp,2016,42,19.2
Carson,2016,7,8.6
Cass,2016,101,17.4
Castro,2016,22,18.1
Chambers,2016,54,9.2
Cherokee,2016,194,19.4
Childress,2016,18,21.5
Clay,2016,36,13.3
Cochran,2016,11,23.5
Coke,2016,11,15.6
Coleman,2016,28,20.1
Collingsworth,2016,7,19.7
Colorado,2016,19,14.5
Comal,2016,382,8.6
Comanche,2016,44,17.1
Concho,2016,9,25.8
Cooke,2016,206,13.8
Coryell,2016,277,14.2
Cottle,2016,6,21.4
Crane,2016,8,10.3
Crockett,2016,20,16.9
Crosby,2016,39,24.1
Culberson,2016,11,23.6
Dallam,2016,16,11.3
Dawson,2016,72,21.4
"Deaf Smith",2016,74,17.1
Delta,2016,16,18.5
Denton,2016,806,8.2
DeWitt,2016,72,18.2
Dickens,2016,9,21.8
Dimmit,2016,60,27.6
Donley,2016,16,18.6
Duval,2016,41,26.3
Eastland,2016,52,20
Ector,2016,383,13.9
Edwards,2016,2,23.3
Ellis,2016,398,9.7
Erath,2016,114,19.5
Falls,2016,45,25.6
Fannin,2016,135,16.1
Fayette,2016,48,11.1
Fisher,2016,3,15.6
Floyd,2016,18,22.8
Foard,2016,1,18
"Fort Bend",2016,745,8.3
Franklin,2016,51,15.8
Freestone,2016,23,19.1
Frio,2016,79,25.8
Gaines,2016,28,14.6
Galveston,2016,681,12.9
Garza,2016,7,30
Gillespie,2016,34,9.8
Goliad,2016,17,14.3
Gonzales,2016,46,17.1
Gray,2016,76,19.4
Grayson,2016,589,13.2
Gregg,2016,532,17.4
Grimes,2016,63,16.7
Guadalupe,2016,357,9.8
Hale,2016,140,21.6
Hall,2016,6,25.8
Hamilton,2016,19,15.1
Hansford,2016,11,13.4
Hardeman,2016,12,17.8
Hardin,2016,142,10.8
Harrison,2016,144,17.4
Hartley,2016,3,9.6
Haskell,2016,8,24.5
Hays,2016,321,12.4
Hemphill,2016,3,10
Henderson,2016,424,16.8
Hill,2016,93,16.2
Hockley,2016,54,17.1
Hood,2016,264,10.3
Hopkins,2016,109,15.3
Houston,2016,107,22.1
Howard,2016,163,17.9
Hudspeth,2016,9,21.4
Hunt,2016,283,16.3
Hutchinson,2016,95,13.1
Jack,2016,52,17.2
Jackson,2016,54,13.5
Jasper,2016,138,19.2
"Jeff Davis",2016,7,13
Jefferson,2016,546,20.1
"Jim Hogg",2016,14,27.9
"Jim Wells",2016,125,23.2
Johnson,2016,654,11.3
Jones,2016,47,21.3
Karnes,2016,31,21.8
Kaufman,2016,246,11.4
Kendall,2016,30,7.4
Kerr,2016,197,14.8
Kimble,2016,9,19.4
Kinney,2016,10,20
Kleberg,2016,70,22.9
Knox,2016,6,21.1
Lamar,2016,199,19.9
Lamb,2016,68,21.5
Lampasas,2016,69,13.6
"La Salle",2016,19,26.2
Lavaca,2016,21,12.5
Lee,2016,40,12.7
Leon,2016,35,18
Liberty,2016,293,15.9
Limestone,2016,48,21.1
Lipscomb,2016,4,12.4
"Live Oak",2016,24,17.2
Llano,2016,68,13.4
Lynn,2016,4,17.9
McCulloch,2016,37,18.4
McLennan,2016,835,18.5
