Year,County,Victims
2024,Armstrong,3
2024,Bailey,9
2024,Briscoe,2
2024,Carson,11
2024,Castro,21
2024,Childress,13
2024,Cochran,6
2024,Collingsworth,2
2024,Crosby,23
2024,Dallam,33
2024,Deaf Smith,22
2024,Dickens,7
2024,Donley,6
2024,Floyd,24
2024,Garza,23
2024,Gray,66
2024,Hale,88
2024,Hall,2
2024,Hansford,3
2024,Hartley,9
2024,Hemphill,2
2024,Hockley,49
2024,Hutchinson,64
2024,Lamb,40
2024,Lipscomb,2
2024,Lubbock,783
2024,Lynn,14
2024,Moore,58
2024,Motley,4
2024,Ochiltree,10
2024,Oldham,5
2024,Parmer,12
2024,Potter,444
2024,Randall,317
2024,Sherman,2
2024,Swisher,25
2024,Terry,52
2024,Wheeler,9
2024,Yoakum,6
2024,Archer,15
2024,Baylor,15
2024,Brown,167
2024,Callahan,75
2024,Clay,22
2024,Coleman,29
2024,Comanche,61
2024,Cottle,1
2024,Eastland,85
2024,Fisher,18
2024,Hardeman,7
2024,Haskell,15
2024,Jack,25
2024,Jones,38
2024,Kent,4
2024,Knox,13
2024,Mitchell,24
2024,Montague,64
2024,Nolan,99
2024,Runnels,41
2024,Scurry,101
2024,Shackelford,13
2024,Stephens,37
2024,Stonewall,10
2024,Taylor,832
2024,Throckmorton,3
2024,Wichita,431
2024,Wilbarger,41
2024,Young,81
2024,Collin,998
2024,Cooke,97
2024,Dallas,"4,889"
2024,Denton,"1,148"
2024,Ellis,328
2024,Erath,70
2024,Fannin,51
2024,Grayson,176
2024,Hood,172
2024,Hunt,156
2024,Johnson,439
2024,Kaufman,430
2024,Navarro,129
2024,Palo Pinto,103
2024,Parker,308
2024,Rockwall,175
2024,Somervell,26
2024,Tarrant,"4,719"
2024,Wise,164
2024,Anderson,120
2024,Bowie,198
2024,Camp,37
2024,Cass,87
2024,Cherokee,162
2024,Delta,14
2024,Franklin,19
2024,Gregg,337
2024,Harrison,95
2024,Henderson,325
2024,Hopkins,97
2024,Lamar,125
2024,Marion,24
2024,Morris,42
2024,Panola,84
2024,Rains,15
2024,Red River,21
2024,Rusk,160
2024,Smith,735
2024,Titus,74
2024,Upshur,108
2024,Van Zandt,119
2024,Wood,113
2024,Angelina,194
2024,Hardin,101
2024,Houston,60
2024,Jasper,46
2024,Jefferson,535
2024,Nacogdoches,151
2024,Newton,21
2024,Orange,155
2024,Polk,133
2024,Sabine,22
2024,San Augustine,15
2024,San Jacinto,56
2024,Shelby,72
2024,Trinity,32
2024,Tyler,49
2024,Austin,39
2024,Brazoria,498
2024,Chambers,92
2024,Colorado,21
2024,Fort Bend,477
2024,Galveston,581
2024,Harris,"5,959"
2024,Liberty,237
2024,Matagorda,65
2024,Montgomery,800
2024,Walker,85
2024,Waller,48
2024,Wharton,56
2024,Bastrop,220
2024,Bell,"1,353"
2024,Blanco,14
2024,Bosque,44
2024,Brazos,459
2024,Burleson,39
2024,Burnet,131
2024,Caldwell,100
2024,Coryell,313
2024,Falls,79
2024,Fayette,74
2024,Freestone,41
2024,Grimes,28
2024,Hamilton,26
2024,Hays,428
2024,Hill,150
2024,Lampasas,88
2024,Lee,39
2024,Leon,40
2024,Limestone,82
2024,Llano,42
2024,Madison,19
2024,McLennan,857
2024,Milam,64
2024,Mills,12
2024,Robertson,75
2024,San Saba,8
2024,Travis,"1,787"
2024,Washington,94
2024,Williamson,719
2024,Atascosa,105
2024,Bandera,58
2024,Bexar,"4,800"
2024,Calhoun,24
2024,Comal,226
2024,DeWitt,79
2024,Dimmit,20
2024,Edwards,2
2024,Frio,71
2024,Gillespie,43
2024,Goliad,4
2024,Gonzales,51
2024,Guadalupe,255
2024,Jackson,23
2024,Karnes,21
2024,Kendall,41
2024,Kerr,108
2024,La Salle,17
2024,Lavaca,28
2024,Maverick,87
2024,Medina,108
2024,Real,1
2024,Uvalde,50
2024,Val Verde,76
2024,Victoria,301
2024,Wilson,91
2024,Zavala,14
2024,Andrews,24
2024,Coke,4
2024,Concho,6
2024,Crane,10
2024,Crockett,8
2024,Dawson,9
2024,Ector,343
2024,Gaines,31
2024,Howard,62
2024,Kimble,12
2024,Loving,1
2024,Martin,8
2024,Mason,1
2024,McCulloch,23
2024,Menard,3
2024,Midland,252
2024,Pecos,43
2024,Reagan,7
2024,Reeves,27
2024,Schleicher,3
2024,Sterling,4
2024,Sutton,8
2024,Tom Green,176
2024,Upton,14
2024,Ward,49
2024,Winkler,14
2024,Brewster,10
2024,Culberson,4
2024,El Paso,"1,173"
2024,Hudspeth,6
2024,Jeff Davis,3
2024,Presidio,15
2024,Aransas,55
2024,Bee,52
2024,Brooks,25
2024,Cameron,681
2024,Duval,37
2024,Hidalgo,"1,458"
2024,Jim Hogg,14
2024,Jim Wells,119
2024,Kenedy,1
2024,Kleberg,89
2024,Live Oak,19
2024,Nueces,839
2024,Refugio,4
2024,San Patricio,170
2024,Starr,38
2024,Webb,414
2024,Willacy,95
2024,Zapata,16
2024,Out of State,8
2023,Armstrong,6
2023,Bailey,11
2023,Briscoe,1
2023,Carson,15
2023,Castro,19
2023,Childress,19
2023,Cochran,3
2023,Collingsworth,15
2023,Crosby,13
2023,Dallam,19
2023,Deaf Smith,55
2023,Dickens,2
2023,Donley,18
2023,Floyd,14
2023,Garza,8
2023,Gray,83
2023,Hale,122
2023,Hall,15
2023,Hansford,12
2023,Hartley,3
2023,Hemphill,9
2023,Hockley,45
2023,Hutchinson,46
2023,Lamb,32
2023,Lipscomb,1
2023,Lubbock,735
2023,Lynn,10
2023,Moore,92
2023,Motley,2
2023,Ochiltree,31
