Year,Name,Poverty Percent
2016,Angelina,19.0
2016,Aransas,18.8
2016,Archer,10.5
2016,Armstrong,10.8
2016,Atascosa,16.3
2016,Austin,14.3
2016,Bailey,16.6
2016,Bandera,14.6
2016,Bastrop,13.2
2016,Baylor,17.6
2016,Bee,27.0
2016,Bell,12.9
2016,Bexar,16.3
2016,Blanco,10.7
2016,Borden,10.6
2016,Bosque,15.8
2016,Bowie,19.3
2016,Brazoria,9.9
2016,Brazos,24.9
2016,Brewster,14.9
2016,Briscoe,15.4
2016,Brooks,32.2
2016,Brown,17.1
2016,Burleson,14.4
2016,Burnet,11.5
2016,Caldwell,16.6
2016,Calhoun,15.7
2016,Callahan,14.9
2016,Cameron,29.1
2016,Camp,19.2
2016,Carson,8.6
2016,Cass,17.4
2016,Castro,18.1
2016,Chambers,9.2
2016,Cherokee,19.4
2016,Childress,21.5
2016,Clay,13.3
2016,Cochran,23.5
2016,Coke,15.6
2016,Coleman,20.1
2016,Collin,6.3
2016,Collingsworth,19.7
2016,Colorado,14.5
2016,Comal,8.6
2016,Comanche,17.1
2016,Concho,25.8
2016,Cooke,13.8
2016,Coryell,14.2
2016,Cottle,21.4
2016,Crane,10.3
2016,Crockett,16.9
2016,Crosby,24.1
2016,Culberson,23.6
2016,Dallam,11.3
2016,Dallas,16.3
2016,Dawson,21.4
2016,Deaf Smith,17.1
2016,Delta,18.5
2016,Denton,8.2
2016,DeWitt,18.2
2016,Dickens,21.8
2016,Dimmit,27.6
2016,Donley,18.6
2016,Duval,26.3
2016,Eastland,20.0
2016,Ector,13.9
2016,Edwards,23.3
2016,Ellis,9.7
2016,El Paso,22.7
2016,Erath,19.5
2016,Falls,25.6
2016,Fannin,16.1
2016,Fayette,11.1
2016,Fisher,15.6
2016,Floyd,22.8
2016,Foard,18.0
2016,Fort Bend,8.3
2016,Franklin,15.8
2016,Freestone,19.1
2016,Frio,25.8
2016,Gaines,14.6
2016,Galveston,12.9
2016,Garza,30.0
2016,Gillespie,9.8
2016,Glasscock,8.7
2016,Goliad,14.3
2016,Gonzales,17.1
2016,Gray,19.4
2016,Grayson,13.2
2016,Gregg,17.4
2016,Grimes,16.7
2016,Guadalupe,9.8
2016,Hale,21.6
2016,Hall,25.8
2016,Hamilton,15.1
2016,Hansford,13.4
2016,Hardeman,17.8
2016,Hardin,10.8
2016,Harris,16.6
2016,Harrison,17.4
2016,Hartley,9.6
2016,Haskell,24.5
2016,Hays,12.4
2016,Hemphill,10.0
2016,Henderson,16.8
2016,Hidalgo,31.2
2016,Hill,16.2
2016,Hockley,17.1
2016,Hood,10.3
2016,Hopkins,15.3
2016,Houston,22.1
2016,Howard,17.9
2016,Hudspeth,21.4
2016,Hunt,16.3
2016,Hutchinson,13.1
2016,Irion,8.0
2016,Jack,17.2
2016,Jackson,13.5
2016,Jasper,19.2
2016,Jeff Davis,13.0
2016,Jefferson,20.1
2016,Jim Hogg,27.9
2016,Jim Wells,23.2
2016,Johnson,11.3
2016,Jones,21.3
2016,Karnes,21.8
2016,Kaufman,11.4
2016,Kendall,7.4
2016,Kenedy,16.2
2016,Kent,11.5
2016,Kerr,14.8
2016,Kimble,19.4
2016,King,10.7
2016,Kinney,20.0
2016,Kleberg,22.9
2016,Knox,21.1
2016,Lamar,19.9
2016,Lamb,21.5
2016,Lampasas,13.6
2016,La Salle,26.2
2016,Lavaca,12.5
2016,Lee,12.7
2016,Leon,18.0
2016,Liberty,15.9
2016,Limestone,21.1
2016,Lipscomb,12.4
2016,Live Oak,17.2
2016,Llano,13.4
2016,Loving,13.3
2016,Lubbock,18.9
2016,Lynn,17.9
2016,McCulloch,18.4
2016,McLennan,18.5
2016,McMullen,12.0
2016,Madison,17.3
2016,Marion,22.6
2016,Martin,13.0
2016,Mason,13.2
2016,Matagorda,17.4
2016,Maverick,24.3
2016,Medina,14.4
2016,Menard,21.4
2016,Midland,9.7
2016,Milam,16.3
2016,Mills,15.8
2016,Mitchell,21.6
2016,Montague,16.5
2016,Montgomery,10.9
2016,Moore,11.8
2016,Morris,20.0
2016,Motley,18.2
2016,Nacogdoches,25.4
2016,Navarro,17.8
2016,Newton,22.8
2016,Nolan,18.4
2016,Nueces,15.1
2016,Ochiltree,11.4
2016,Oldham,14.3
2016,Orange,14.0
2016,Palo Pinto,16.4
2016,Panola,15.6
2016,Parker,9.3
2016,Parmer,15.5
2016,Pecos,17.1
2016,Polk,20.3
2016,Potter,22.0
2016,Presidio,24.1
2016,Rains,14.8
2016,Randall,9.1
2016,Reagan,11.8
2016,Real,18.4
2016,Red River,17.1
2016,Reeves,25.0
2016,Refugio,15.7
2016,Roberts,6.6
2016,Robertson,18.7
2016,Rockwall,5.2
2016,Runnels,17.2
2016,Rusk,15.6
2016,Sabine,17.5
2016,San Augustine,23.8
2016,San Jacinto,17.7
2016,San Patricio,15.8
2016,San Saba,20.1
2016,Schleicher,16.6
2016,Scurry,15.2
2016,Shackelford,14.8
2016,Shelby,21.1
2016,Sherman,13.1
2016,Smith,15.7
2016,Somervell,10.8
2016,Starr,39.9
2016,Stephens,21.4
2016,Sterling,12.7
2016,Stonewall,15.6
2016,Sutton,14.1
2016,Swisher,22.2
2016,Tarrant,13.6
2016,Taylor,16.8
2016,Terrell,18.7
2016,Terry,21.8
2016,Throckmorton,14.9
2016,Titus,14.9
2016,Tom Green,13.4
2016,Travis,12.2
2016,Trinity,20.1
2016,Tyler,18.4
2016,Upshur,15.4
2016,Upton,13.6
